"ilpn"|"status"|"ASN"|"PO"|"SKU"|"qty"|"length"|"hieght"|"width"|"Active_location"|"Current_location"|"Found_location"
67701000204201|"Canceled"|120045257|4038132|354844|90|14.2|21.77|3.13|"AS0"|"BRACK"|"PUTLANE"
67701000254083|"Pulled"|120045234|4056792|10748211|16|18.22|29.77|7.95|"AS0"|"AS1"|"INLOAD"
67701000286159|"Not received but shipment verified"|120045257|4038131|354841|51|6.9|8.17|5.87|"AS2"|"DRACK"|"CRACK"
67701000374854|"In transit"|120045240|4038117|12741090|25|11.45|19.26|4.2|"AS2"|"UNKNOWN"|"INLOAD"
67701000594899|"Consumed"|120045240|4038154|354898|71|17.54|25.95|6.43|"AS4"|"AS1"|"INLOAD"
67701000852779|"Allocated"|120045273|4038153|354896|75|13.84|11.54|4.78|"AS4"|"AS2"|"CUBIST"
67701001012032|"In transit"|120045258|4038133|354849|22|19.21|18.29|4.79|"AS4"|"SHIPLANE"|"MULTIST"
67701001529232|"Consumed"|120045293|4056762|10748095|43|8.08|13.19|7.22|"AS4"|"AS2"|"ONPALLET"
67701001591051|"Allocated and Pulled"|120045257|4038132|354847|92|10.54|27.13|9.7|"AS0"|"AS1"|"MULTIST"
67701001791957|"Case consumed to active"|120045239|4038115|12741083|31|17.16|24.91|2.11|"AS0"|"BRACK"|"BRACK"
67701002171992|"Allocated and Pulled"|120045257|4038131|354840|9|4.97|12.07|3.37|"AS0"|"SHIPLANE"|"CUBIST"
67701002172572|"In work order"|120045298|4056790|10748204|59|7.86|28.25|8.26|"AS0"|"AS2"|"CRACK"
67701002186701|"Allocated and Pulled"|120045257|4038132|354844|58|2.58|24.8|1.85|"AS4"|"AS4"|"PUTLANE"
67701002205482|"Case consumed to active"|120045231|4056769|11750505|91|11.55|22.27|9.43|"AS2"|"DRACK"|"BRACK"
67701002320268|"In work order"|120045231|4056769|11750521|82|16.4|1.38|5.88|"AS2"|"AS4"|"CRACK"
67701002971985|"Not received but shipment verified"|120045239|4038114|12741077|89|3.08|8.33|7.12|"AS4"|"BRACK"|"ONPALLET"
67701002975750|"Canceled"|120045393|4056795|10748224|0|1.9|1.7|7.72|"AS2"|"AS4"|"INLOAD"
67701003375289|"In inventory not putaway"|120045273|4038153|354897|47|10.21|13.8|6.67|"AS2"|"AS4"|"CRACK"
67701004216869|"Not received but shipment verified"|120045257|4038132|354846|7|19.36|3.79|8.45|"AS4"|"CRACK"|"DRACK"
67701004285330|"In transit"|120045257|4038132|354846|20|5.05|1.65|7.55|"AS1"|"UNKNOWN"|"PUTLANE"
67701004573458|"Pulled"|120045239|4038113|12741074|93|4.04|14.07|8.3|"AS4"|"DRACK"|"CRACK"
67701004611617|"Allocated"|120045292|4056763|10748094|47|15.62|29.24|9.44|"AS2"|"AS1"|"INLOAD"
67701004754264|"Case consumed to active"|120045394|4056794|10748217|7|11.02|24.94|1.69|"AS1"|"AS1"|"BRACK"
67701004954937|"Partially allocated"|120045399|4056769|11750501|5|9.42|5.09|3.98|"AS0"|"PICKCART"|"MULTIST"
67701005023419|"In work order"|120045236|4038103|10741039|44|19.17|28.77|6.64|"AS4"|"SHIPPED"|"CRACK"
67701005027308|"Pulled"|120045257|4038154|354899|74|11.48|14.36|2.13|"AS2"|"BRACK"|"DRACK"
67701005286194|"In work order"|120045258|4038133|354851|87|1.89|21.19|4.0|"AS2"|"DRACK"|"BRACK"
67701005794251|"Consumed"|120045257|4038129|354833|15|15.56|14.82|2.51|"AS4"|"AS4"|"CUBIST"
